Target,Model,RMSE,RMSE_std,MAE,MAE_std,sMAPE (%),sMAPE_std
M01AB,GradientBoosting,7.084830759269955,0.6990544339674797,5.564449347442315,0.453600537251766,15.097028161103099,1.3227636716782802
M01AB,XGBoost,7.556471315211268,1.408366261182561,6.09133100545645,1.335177024148526,16.648603439501212,3.8351756675925937
M01AB,RandomForest,7.597119008819746,1.3755679861271202,6.154230428863305,1.3301628584011385,16.82610212037671,3.859228739148211
M01AB,LightGBM,8.35823618340635,2.0641838575597196,6.843025243711529,1.9974373716076372,18.93103090481919,6.173737092402546
N02BE,GradientBoosting,49.085934905317835,17.93047719226713,35.62081822656913,10.58709335094812,16.60597473863674,4.701909440775389
N02BE,XGBoost,51.69769256319145,18.417743528493393,36.59773596210357,11.685732422124762,16.68042883469825,4.4015355983587305
N02BE,LightGBM,52.60023434896071,16.85927097894938,39.366303275806146,8.709282325485848,18.28045622944739,3.611525063502771
N02BE,RandomForest,53.44233286341648,18.777860544022566,40.37949536553552,10.817246003693391,18.886031827106173,3.9793466274812657
