Demand Level,Mean Residual,Median Residual,Under %,Over %,Count
Low,-20.160894368616642,-15.949762778166717,30.0,70.0,20
Medium,-3.8397431291176596,-6.371980000000008,35.294117647058826,64.70588235294117,17
High,25.90812054061404,22.895301250000188,73.6842105263158,26.31578947368421,19
