Demand Level,Mean Residual,Median Residual,Under %,Over %,Count
Low,-8.057911988277185,-5.438297222199999,0.0,100.0,19
Medium,-0.5042599536722219,-0.01604513880000625,50.0,50.0,18
High,9.16413165206842,7.628047222233299,100.0,0.0,19
