mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.6124839782714844,0.03427127490808573,0.08548579216003419,0.0054504952591897735,42,300,5,4,0.7,12,True,"{'random_state': 42, 'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 0.7, 'max_depth': 12, 'bootstrap': True}",12.225412106744779,8.804703009478137,9.394125489983619,9.496932603465524,7.807009537126866,9.545636549359786,1.4682187242781322,4
0.8168166160583497,0.04929172521248238,0.08848228454589843,0.005652626056884145,42,400,2,4,sqrt,12,True,"{'random_state': 42, 'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 12, 'bootstrap': True}",12.139138897263253,8.728278775597333,9.154402336147418,8.515813444087938,7.792153643855246,9.265957419390237,1.502765997608702,27
1.420574426651001,0.15143618923870703,0.25036444664001467,0.05738564617338153,42,600,10,4,0.7,20,True,"{'random_state': 42, 'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 0.7, 'max_depth': 20, 'bootstrap': True}",12.183173920444494,8.825973647268908,9.386785210643188,9.455759451507925,7.7080532851888615,9.511949103010675,1.4750503550454184,13
0.6449771881103515,0.03498002540387868,0.22914838790893555,0.05372571137934698,42,300,2,1,sqrt,20,True,"{'random_state': 42, 'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': True}",11.703370625430308,8.808160274157483,9.05573951582356,8.73546775008971,7.965881072548516,9.253723847609916,1.2779375904637238,29
1.1524127006530762,0.17917928422614757,0.17311859130859375,0.05759288734232307,42,400,2,2,0.7,12,True,"{'random_state': 42, 'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.7, 'max_depth': 12, 'bootstrap': True}",12.096582618564996,8.825616714546172,9.31775681415798,9.735648602980516,7.706780790910983,9.53647710823213,1.4487759791166346,7
2.0391300201416014,0.03185805283536827,0.2059553623199463,0.015561431351470398,42,800,5,1,0.5,,True,"{'random_state': 42, 'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': None, 'bootstrap': True}",11.953785983321328,8.757811228978332,9.284799801218973,9.31336451455081,7.767312493786134,9.415414804371116,1.387046248064632,20
2.350793743133545,0.34802993472387106,0.2905522346496582,0.07026028767565647,42,800,10,1,0.7,20,True,"{'random_state': 42, 'n_estimators': 800, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 0.7, 'max_depth': 20, 'bootstrap': True}",11.9780225328683,8.868916425900595,9.38272126125699,9.787820667250617,7.689798681915126,9.541455913838327,1.4073871562575955,5
1.3655707836151123,0.19043894202049885,0.23102936744689942,0.07947341603776435,42,400,2,4,0.7,8,True,"{'random_state': 42, 'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 0.7, 'max_depth': 8, 'bootstrap': True}",12.242325863566652,8.781722568216592,9.369549658234279,9.448008383738346,7.764469598581019,9.521215214467377,1.4876699485066769,10
1.4188916206359863,0.2576764698193078,0.2683115005493164,0.11191215761528966,42,400,2,4,0.7,20,True,"{'random_state': 42, 'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 0.7, 'max_depth': 20, 'bootstrap': True}",12.242325863566652,8.781722568216592,9.37450905286655,9.448254817240512,7.758057581499211,9.520973976677903,1.489084484079474,11
1.2742095947265626,0.14498926095869236,0.11193199157714843,0.02429253831097809,42,400,10,2,0.5,16,True,"{'random_state': 42, 'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 16, 'bootstrap': True}",12.02212524823588,8.771546957046569,9.34655386364391,9.438253849842528,7.688136082251966,9.45332320020417,1.427660684171155,17
0.5213500499725342,0.054426017219313304,0.1446512222290039,0.10113528210147779,42,200,10,1,0.5,,True,"{'random_state': 42, 'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': None, 'bootstrap': True}",11.967878258563553,8.81761305198427,9.205177228052259,9.637769229040586,7.804041727312004,9.486495898990535,1.3811110405916514,14
