mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.6581432342529296,0.11607837150295836,0.12726140022277832,0.045196992349487854,42,300,5,4,0.7,12,True,"{'random_state': 42, 'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 0.7, 'max_depth': 12, 'bootstrap': True}",60.32893912234711,45.48977706404119,62.48874641039134,42.820011314261095,38.76073245313933,49.97764127283601,9.600716162684076,22
0.8131008625030518,0.08178098138850405,0.12174901962280274,0.009969236286137802,42,400,2,4,sqrt,12,True,"{'random_state': 42, 'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 12, 'bootstrap': True}",68.42361058069237,49.549428750004644,73.94837211858976,50.81031348208386,37.42398922656321,56.03114283158677,13.342385124471654,3
1.3954490661621093,0.16473384330183158,0.2574127197265625,0.0502111012780383,42,600,10,4,0.7,20,True,"{'random_state': 42, 'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 0.7, 'max_depth': 20, 'bootstrap': True}",60.681350270213905,45.979217184334814,63.00175791053424,43.264530985447344,39.32632336730625,50.45063594356731,9.566422515726808,15
0.6116179466247559,0.047058198806168246,0.1765066623687744,0.04310398006698316,42,300,2,1,sqrt,20,True,"{'random_state': 42, 'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': True}",67.93560570349752,47.53287393394049,72.7742430906958,51.012934070051806,37.478637404826095,55.34685884060234,13.124822823144875,6
1.1333096504211426,0.21969675516025403,0.11645045280456542,0.02296535694152996,42,400,2,2,0.7,12,True,"{'random_state': 42, 'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.7, 'max_depth': 12, 'bootstrap': True}",60.10121412413929,44.12815276258745,62.44444041291906,43.53747670639519,39.27969356833353,49.8981955148749,9.465881580657662,24
2.0029510974884035,0.04398819625755147,0.4227273464202881,0.08260688100053945,42,800,5,1,0.5,,True,"{'random_state': 42, 'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': None, 'bootstrap': True}",60.10298512411119,44.03738408921035,63.05354252221076,43.52652866044155,39.03859234157459,49.95180654750969,9.696027488520603,23
2.116259002685547,0.3774372637349856,0.3195833683013916,0.10501372063886835,42,800,10,1,0.7,20,True,"{'random_state': 42, 'n_estimators': 800, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 0.7, 'max_depth': 20, 'bootstrap': True}",59.93207680703638,43.270357571482656,62.36913495786561,42.93902412251268,39.568387300116235,49.61579615180271,9.538003956808259,29
1.2395151138305665,0.2745229850817939,0.18066873550415039,0.0842669396075075,42,400,2,4,0.7,8,True,"{'random_state': 42, 'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 0.7, 'max_depth': 8, 'bootstrap': True}",60.71140849034121,45.863900616325495,62.60877464417481,42.967288320884784,39.25834714809417,50.2819438439641,9.542195406538749,16
1.1644060134887695,0.178811130085217,0.17329559326171876,0.008436634135231626,42,400,2,4,0.7,20,True,"{'random_state': 42, 'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 0.7, 'max_depth': 20, 'bootstrap': True}",60.71140849034122,45.8639006163255,62.61398837837943,42.95167785965948,39.136511008563744,50.25549727065387,9.574154130292566,17
1.1059230327606202,0.12977454719874668,0.12191343307495117,0.03556749673515648,42,400,10,2,0.5,16,True,"{'random_state': 42, 'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 16, 'bootstrap': True}",61.67045976558523,43.50108079928524,63.90845172267575,42.26555183254217,38.09333889817516,49.88777660365271,10.708948667679067,25
0.5220657348632812,0.07247619236597046,0.13344597816467285,0.04114137931262688,42,200,10,1,0.5,,True,"{'random_state': 42, 'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': None, 'bootstrap': True}",62.25846157031854,43.11649564113004,63.84080274328389,43.61114626603802,37.83334879159565,50.132051002473226,10.751539417522583,20
1.3917699337005616,0.05462780959526829,0.1569115161895752,0.03547733151726582,42,600,5,1,0.7,20,True,"{'random_state': 42, 'n_estimators': 600, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.7, 'max_depth': 20, 'bootstrap': True}",60.371013259447025,44.1650428517538,61.78227060864249,44.45058556988331,39.625975818604196,50.07897762166616,9.152177145953067,21
0.5925681591033936,0.2112062924291512,0.3744542121887207,0.20445688393779562,42,200,2,4,0.5,16,True,"{'random_state': 42, 'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 0.5, 'max_depth': 16, 'bootstrap': True}",63.313155938170425,44.13673662523521,64.13001500598992,43.4497235613327,38.156711809222294,50.63726858799011,10.884983627291142,12
1.2321943759918212,0.251778732305979,0.1194833755493164,0.03282471699837421,42,400,2,4,0.5,,True,"{'random_state': 42, 'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 0.5, 'max_depth': None, 'bootstrap': True}",62.60623462887518,44.81389628448918,64.09234670451093,43.28845332969756,38.32193486604898,50.62457316272437,10.619591938571835,13
